LOCODE,NAME,STATE
XUB,Auburn,GA
UUR,Auburn,IA
UUN,Auburn,IL
AUI,Auburn,IN
A2U,Auburn,KY
ABU,Auburn,MA
AUE,Auburn,ME
ABM,Auburn,MI
QAE,Auburn,NE
AB9,Auburn,NH
AUB,Auburn,NY
5AU,Auburn,PA
AUJ,Auburn,WA
AUH,Auburn Heights,MI
ABH,Auburn Hills,MI
AUD,Auburndale,FL
ZJR,Auburndale,WI
LEW,Auburn-Lewiston Apt,ME
8AC,Auckland,CA
AAQ,Audubon,PA
TFH,August F. Haw,CA
AUT,Augusta,AR
AGS,Augusta,GA
7AU,Augusta,IL
AGU,Augusta,KY
AUG,Augusta,ME
UUT,Augusta,MI
VR9,Augusta,MO
AJG,Augusta,MT
AU2,Augusta,NJ
UDZ,Augusta,OH
UUA,Augusta,WI
VAU,Augusta Springs,VA
U9A,Aukum,CA
AUY,Aulander,NC
AL4,Ault,CO
UTM,Aultman,PA
USV,Aumsville,OR
KAR,Aura,NJ
AUC,Aurora,CO
AUZ,Aurora,IL
YAO,Aurora,IN
QQY,Aurora,MN
AUU,Aurora,MO
AAN,Aurora,NC
AUQ,Aurora,NE
AUR,Aurora,NY
AUF,Aurora,OH
AUX,Aurora,OR
UOR,Aurora,SD
UOA,Aurora,UT
AUL,Austell,GA
AKU,Austin,AR
NA8,Austin,AR
ZAW,Austin,CO
XBJ,Austin,IN
AUM,Austin,MN
ASQ,Austin,NV
AUS,Austin,TX
ASG,Austinburg,OH
AUV,Austintown,OH
JLV,Austinville,VA
AGV,Autaugaville,AL
KYX,Auxier,KY
A2V,Ava,IL
AQB,Ava,MO
QAV,Ava,NY
